iter	MultiClass
0	1.013863309
1	0.9520306154
2	0.8757990364
3	0.8156673118
4	0.7507541039
5	0.7097560952
6	0.6671416057
7	0.6279226182
8	0.5879865326
9	0.5571388732
10	0.5253823006
11	0.5038887811
12	0.4789481598
13	0.4555429786
14	0.4310566945
15	0.4099220645
16	0.3888168695
17	0.3671365983
18	0.3485960935
19	0.3343409192
20	0.3205760233
21	0.3086741767
22	0.2935401129
23	0.2831475132
24	0.2757530366
25	0.2671517815
26	0.2576856306
27	0.2492641158
28	0.2397547701
29	0.2311366868
30	0.2247472073
31	0.2160338787
32	0.2085676549
33	0.2031078148
34	0.197197336
35	0.1893698189
36	0.1840323189
37	0.1787613587
38	0.1728349886
39	0.1684392874
40	0.163721591
41	0.1576884339
42	0.1538626429
43	0.150234613
44	0.1464607291
45	0.1419471441
46	0.1375015535
47	0.1338446256
48	0.1289167238
49	0.1268647065
50	0.1235719615
51	0.1199825789
52	0.1174361847
53	0.1131903631
54	0.1095716099
55	0.1073165622
56	0.1051495265
57	0.1027635948
58	0.1000799559
59	0.09805227604
60	0.09629180847
61	0.09420111248
62	0.0920174956
63	0.08927889391
64	0.08740875699
65	0.08602291318
66	0.08424766496
67	0.08249515808
68	0.08110827377
69	0.07989171803
70	0.07818237156
71	0.07651096121
72	0.0751285181
73	0.07401336189
74	0.073059367
75	0.07167787882
76	0.07033483545
77	0.06927214082
78	0.06811497661
79	0.06681115057
80	0.06574181306
81	0.06474957764
82	0.0639496769
83	0.06289289591
84	0.06210094471
85	0.06122383346
86	0.06022062072
87	0.05924181725
88	0.05827956647
89	0.05750605505
90	0.05666412786
91	0.05588531861
92	0.05501719155
93	0.05415921693
94	0.05349739787
95	0.05286719832
96	0.05227023847
97	0.05155093691
98	0.05053872453
99	0.04995199616
