iter	Passed	Remaining
0	66	6609
1	69	3407
2	71	2321
3	74	1778
4	75	1428
5	77	1208
6	78	1048
7	80	927
8	82	833
9	84	759
10	86	696
11	87	645
12	90	603
13	92	565
14	93	531
15	95	501
16	97	474
17	99	452
18	103	439
19	104	419
20	106	401
21	108	384
22	110	370
23	113	358
24	115	347
25	119	339
26	121	328
27	123	317
28	125	306
29	127	296
30	128	287
31	131	278
32	132	269
33	135	262
34	137	254
35	139	247
36	141	240
37	142	232
38	145	227
39	147	221
40	149	215
41	152	210
42	154	204
43	156	198
44	158	193
45	160	188
46	162	183
47	164	177
48	166	172
49	167	167
50	169	163
51	171	158
52	173	154
53	174	148
54	176	144
55	178	139
56	179	135
57	181	131
58	183	127
59	185	123
60	186	119
61	188	115
62	190	111
63	192	108
64	194	104
65	196	101
66	200	98
67	202	95
68	204	91
69	206	88
70	208	85
71	210	82
72	213	79
73	216	76
74	219	73
75	221	69
76	223	66
77	225	63
78	227	60
79	228	57
80	230	54
81	232	51
82	234	48
83	236	45
84	238	42
85	240	39
86	242	36
87	244	33
88	246	30
89	248	27
90	250	24
91	252	21
92	253	19
93	256	16
94	258	13
95	260	10
96	263	8
97	266	5
98	269	2
99	271	0
